x,y,z,w
174.715,64.7086,155.296,0.908741
-243.01,428.039,603.868,0.995962
155.126,57.6825,157.95,0.958943
705.84,57.0493,-530.213,0.114985
-532.591,-125.978,-272.243,0.265899
180.29,65.4145,160.651,0.104669
1003.87,168.915,-10.2982,0.671184
181.49,66.4544,149.99,0.763045
146.496,35.1957,-46.7408,0.707685
480.778,970.612,161.349,0.40195
195.753,22.9746,-111.563,1.02572
41.6469,-646.996,-54.4684,0.335328
466.14,-324.877,239.345,0.943654
110.299,19.1004,170.147,0.492438
-231.043,441.121,495.513,0.123743
174.097,61.5565,159.655,0.156215
-181.559,327.574,-248.101,0.372896
182.945,62.3436,137.525,0.826493
181.628,66.3999,145.469,0.568459
145.218,17.7559,84.5659,0.20828
182.118,49.0406,138.767,0.708966
173.903,62.1093,151.68,0.325105
-170.473,1231.32,153.146,1.08999
252.223,-379.604,-1189.7,0.757308
190.827,59.7546,124.96,0.604807
291.686,-497.948,182.82,1.00512
579.02,-1978.19,-688.755,0.170376
180.403,66.7658,154.513,0.977255
-175.541,292.426,330.233,0.277892
177.839,65.2435,155.727,0.603922
187.322,66.4068,141.083,0.668743
183.121,64.4152,147.809,0.575295
-693.078,-186.71,868.419,0.135096
45.705,-281.75,803.279,0.204678
183.269,64.4133,149.632,0.445988
-350.51,872.946,-1077.45,0.416874
168.12,61.6122,158.419,0.3978
165.18,33.3546,113.926,0.861315
801.404,-90.2266,46.2156,0.990164
-86.4521,33.0544,63.7792,0.150508
47.0786,-2.13311,68.3829,0.726759
186.3,67.0969,139.632,0.223325
184.025,64.4976,152.105,1.04107
183.234,65.9678,143.055,0.833085
175.753,66.4943,150.228,0.847215
179.183,64.2326,153.491,0.161007
907.526,826.763,-429.482,0.215604
178.098,69.8857,150.609,0.554512
184.984,60.7163,146.771,0.173885
183.444,60.8891,144.614,0.390353
75.2546,-1172.76,235.99,0.632579
-547.983,-1155.85,480.745,1.06304
-22.2917,624.54,-288.543,0.435948
186.317,70.0073,150.972,1.09802
186.74,64.399,129.601,0.537727
-52.293,22.939,-181.19,0.390017
186.724,67.424,151.81,0.301971
-241.417,102.313,-845.787,0.566353
180.128,71.0173,143.017,0.928791
-1017.85,419.164,-643.191,0.475134
-383.74,320.714,194.447,1.00509
-350.375,-338.303,329.067,0.798508
323.214,-2109.65,713.584,0.180386
1741.43,118.237,1240.78,0.791122
314.11,-591.04,64.929,0.967733
149.599,44.5944,110.436,0.143214
16.9935,-58.1014,40.7641,0.669201
180.909,62.0188,152.206,0.969045
273.251,194.395,-374.092,0.426914
-682.65,-491.851,-260.451,0.920002
-467.634,577.386,20.423,0.398746
187.178,65.1992,140.53,0.423038
181.658,60.3772,143.734,1.05907
-152.477,-48.8681,138.791,1.044
-263.424,-391.108,105.71,0.624583
184.591,63.8904,143.652,0.975637
191.467,79.7947,140.256,0.605051
184.291,65.342,153.89,0.651164
176.684,62.6947,162.254,0.479131
1123.6,142.531,-1429.04,0.482366
1577.19,582.965,-57.1764,0.495184
-617.958,48.8435,-455.171,0.723066
178.776,66.9838,145.313,0.596902
187.169,70.5533,152.843,0.457097
260.597,36.2976,-99.2062,0.474248
-265.4,-118.865,175.86,0.711988
-402.467,-525.196,-506.731,0.73921
176.706,59.0771,159.977,0.696881
180.46,64.1778,158.975,0.226469
179.812,70.222,157.022,0.165951
188.834,61.3124,135.385,0.419407
178.997,-169.315,-326.868,0.906879
35.6273,392.882,491.629,1.0006
142.712,-18.2324,21.2388,0.3537
579.148,-425.748,192.331,0.527808
736.889,-1755.2,-232.509,0.325562
-1.67627,-394.242,244.009,0.234709
181.871,68.6975,151.344,0.889636
1476.43,1433.76,-629.288,0.956655
158.133,-4.90665,223.422,0.34955
183.803,64.4477,144.878,0.181423
154.017,-91.223,-428.486,0.358797
249.723,-86.9709,-561.544,0.225095
166.274,-465.945,-476.199,0.158718
-765.489,237.75,806.481,0.532783
533.962,74.1592,-2.11519,0.942097
180.465,62.2647,149.423,0.104334
7.15822,-301.483,40.8027,0.341096
-97.9937,-1890.24,718.986,1.04528
182.681,66.0025,152.411,1.04098
739.552,2179.1,941.351,0.24243
57.8516,13.9613,108.814,0.51792
-579.885,216.517,126.142,0.164852
809.042,347.023,305.722,0.902698
833.086,-65.213,-467.107,0.789505
175.641,67.1172,166.776,0.968679
183.172,64.6271,145.009,0.651988
392.115,-329.727,87.4325,0.245177
-226.757,-40.1726,91.3859,1.02248
185.839,66.2178,146.693,0.255919
180.68,56.9117,159.866,0.206418
178.551,63.6258,154.163,0.882098
184.003,70.063,146.112,0.970388
187.479,65.2705,145.552,0.850633
178.564,65.2274,148.661,1.09261
-560.888,-277.798,-218.682,0.347688
177.914,64.9545,163.702,1.03909
195.91,49.5828,148.295,0.756758
337.217,-50.3809,340.095,0.764174
-1605.66,612.449,56.3203,0.52204
183.588,56.8361,158.555,0.636454
-2310.11,-113.609,412.516,0.136622
330.692,-297.608,-523.458,0.489416
1.41777,-67.5761,28.2303,0.255889
1192.57,-494.453,1781.11,0.797348
264.453,77.0718,-119.02,0.935719
131.898,-317.672,576.017,0.976003
-27.3912,230.722,6.10351,0.995718
1229.13,-1239.77,1020.19,0.808518
178.222,62.6832,143.065,0.507636
182.689,61.8759,146.494,0.996054
183.307,69.0075,140.11,0.408603
350.508,205.318,-887.622,0.833696
540.002,461.401,495.963,0.239317
188.095,66.0826,139.926,1.01113
8.35429,-35.9854,-261.953,1.00744
182.08,43.2847,169.356,0.53852
-56.3023,135.556,142.564,0.175777
142.923,50.6695,173.613,0.797287
-461.91,277.471,-530.361,0.775741
83.2203,-342.069,199.09,0.715711
101.355,58.3711,-320.282,0.645366
181.004,69.5403,145.243,1.06997
167.833,-809.953,-65.0197,0.792801
87.7959,74.5461,521.468,0.909778
484.813,625.355,380.087,0.884478
-779.994,-735.698,-328.615,0.109156
-1478.92,-678.591,675.938,0.858538
179.794,62.4574,151.585,1.04232
540.342,-227.365,873.353,0.662853
200.037,247.312,-588.56,0.384219
175.777,64.6138,161.817,0.118616
189.54,50.3596,132.285,1.03677
181.153,57.2063,137.956,0.908374
682.84,228.35,201.529,0.179012
183.414,67.6883,146.567,0.689435
95.977,-548.649,630.746,0.443577
778.677,217.463,168.593,0.332093
648.066,-130.536,196.346,0.216855
184.544,64.0736,155.733,0.28302
-173.092,490.86,404.858,1.06521
-267.302,775.099,262.099,1.0534
-588.153,-1592.84,-465.583,0.285461
309.793,-881.916,-956.595,0.8322
185.525,65.0148,142.238,0.580941
36.2343,11.057,67.0424,0.224638
-1503.51,689.289,-450.376,0.862047
186.333,62.749,156.011,0.115351
-174.506,-193.839,265.678,0.172115
-207.176,216.752,835.255,0.656658
185.282,63.8544,148.739,0.738234
185.574,63.5431,134.551,0.381747
170.936,67.2013,149.601,0.146968
206.914,38.3919,15.9279,0.443242
274.558,68.6437,303.221,0.645183
1071.32,-1191.73,1100.48,0.976247
196.404,76.9055,131.844,0.565773
-371.953,165.863,534.694,0.586587
183.128,68.1635,132.134,0.878466
289.83,40.26,335.12,0.964376
178.033,63.3698,152.569,0.865618
185.887,62.9086,147.853,0.621958
-315.04,-577.036,-83.6159,0.923054
178.951,74.9475,152.535,0.75746
-151.319,-358.405,-589.658,0.485662
100.347,265.743,-320.35,0.242857
-282.829,-14.5892,-359.18,1.07842
183.121,66.8073,154.887,0.737471
182.551,73.0509,158.882,0.491949
53.2637,-7.08245,-171.45,0.926045
-662.981,406.803,517.646,1.08349
-73.5198,-764.84,-539.433,0.882159
-1009.1,1376.71,-505.193,0.202512
179.794,63.4879,150.482,0.556404
188.411,67.1434,143.607,0.741652
157.061,325.637,198.584,0.389804
-931.989,-939.662,1067.9,0.812363
-59.9184,7.11102,10.7898,1.05206
-220.865,793.641,80.2629,0.545753
20.2782,-0.543268,-39.8914,0.304627
162.595,617.588,99.4072,1.01839
-117.273,498.227,-292.702,0.98934
175.507,67.023,163.406,0.303009
-333.139,-788.51,385.43,0.141353
195.115,67.0892,149.681,0.644481
182.641,65.9453,145.388,0.22775
183.756,67.754,147.275,0.760237
-866.18,-1425.84,1378.07,0.510535
2.31734,-305.088,-326.948,0.266448
316.802,-115.619,1237.9,0.535072
481.962,73.51,61.025,0.228574
344.61,221.058,410.923,0.74333
625.205,94.0692,881.956,0.837175
-188.492,-5.62032,26.4144,0.212186
3.83861,31.7166,21.5769,0.208676
177.919,67.4558,165.496,0.516669
182.891,64.5939,153.715,0.31128
187.58,70.0495,170.065,0.718275
182.68,63.3574,138.839,1.01565
183.244,64.0019,147.382,0.478185
181.742,64.6932,145.718,0.270568
187.075,65.1258,140.994,0.295624
178.86,61.6841,140.74,0.403995
184.916,67.0035,145.43,0.871172
364.505,200.991,-251.463,0.548622
183.764,62.1088,145.65,0.594858
179.905,59.5404,147.291,0.192746
